year,Q,month
1884,10.7962130801808,4
1885,10.1059202598777,4
1886,5.68218797476536,4
1887,7.12531086312742,4
1888,11.4547446596487,4
1889,7.70623667134698,4
1890,10.2500610822842,4
1891,12.2596486366589,4
1892,6.64884675041239,4
1893,11.0262662928194,4
1894,13.8757792488714,4
1895,10.7795070074994,4
1896,10.0400075921648,4
1897,8.94690301338511,4
1898,6.1581376093802,4
1899,15.7004146330897,4
1900,14.6259099015981,4
1901,9.83452966961332,4
1902,11.245652309962,4
1903,9.73929308037574,4
1904,2.63897501051577,4
1905,14.7911379337662,4
1906,9.10743160134418,4
1907,6.7993629531245,4
1908,9.76214170033053,4
1909,15.1187490447721,4
1910,11.7172634820479,4
1911,13.6933928901966,4
1912,10.3354503903701,4
1913,3.20157376298837,4
1914,7.69034505187082,4
1915,4.89728739973013,4
1916,7.33508670592781,4
1917,9.10055515316339,4
1918,13.9902844743353,4
1919,14.017175303503,4
1920,10.3382914426908,4
1921,10.0105869303825,4
1922,10.3535225620689,4
1923,10.4847243825797,4
1924,12.3170024819355,4
1925,9.31383092092756,4
1926,9.09248364448736,4
1927,6.9961199669266,4
1928,7.56502030573296,4
1929,7.56207070287865,4
1930,10.2824510113615,4
1931,7.76225772580842,4
1932,5.7129904562572,4
1933,8.80426272935565,4
1934,9.4216108299396,4
1935,11.9276125100371,4
1936,10.4899356876583,4
1937,10.3801153439169,4
1938,10.2939567349062,4
1939,13.0434031615822,4
1940,12.7747567594202,4
1941,8.18102980018752,4
1942,3.57643285764958,4
1943,7.23950726679534,4
1944,10.1819873395053,4
1945,12.4349296986275,4
1946,13.2685295562996,4
1947,7.69817685577126,4
1948,8.15080072707398,4
1949,12.5852370078514,4
1950,7.12127642581833,4
1951,7.98932005311144,4
1952,9.81403862516613,4
1953,8.70946962859333,4
1954,11.8589517307001,4
1955,11.5021452132708,4
1956,8.57527310852583,4
1957,12.4228583192368,4
1958,7.50787075718889,4
1959,6.29727902623939,4
1960,5.61924105975621,4
1961,4.22251521212732,4
1962,6.11147913633521,4
1963,9.74137517178199,4
1964,8.40551214069762,4
1965,7.60949763385966,4
1966,6.98205039410737,4
1967,7.75787133999115,4
