year,month,Q
2015,2,32.97
2015,3,25.09
2015,4,38.35
2015,5,32.8
2015,6,45.85
2015,7,180.36
2015,8,567.66
2015,9,501.92
2015,10,327.12
2015,11,110.96
2015,12,85.98
2016,1,47.69
2016,2,28.04
2016,3,15.74
2016,4,22.92
2016,5,69.98
2016,6,102.67
2016,7,375.9
2016,8,1041.38
2016,9,739.98
2016,10,284.36
2016,11,121.92
2016,12,67.9
2017,1,60.83
2017,2,25.82
2017,3,12.58
2017,4,28.71
2017,5,60.56
2017,6,75.48
2017,7,668.52
2017,8,671.58
2017,9,675.42
2017,10,397.81
2017,11,148.63
2017,12,88.14
2018,1,64.59
2018,2,32.76
2018,3,23.45
2018,4,42.73
2018,5,90.4
2018,6,369.05
2018,7,1068.02
2018,8,1152.89
2018,9,788.53
2018,10,315.05
2018,11,130.83
2018,12,73.48
2019,1,56.04
2019,2,25.38
2019,3,15.7
2019,4,8.59
2019,5,10.92
2019,6,28.51
2019,7,49.5
2019,8,949.38
2019,9,406.59
2019,10,113.94
2019,11,60.82
2019,12,32.22
2020,1,20.71
2020,2,9.98
2020,3,5.79
